,rf_rank,xgb_rank,mean_rank
abs_ret_ewma,1.0,1.0,1.0
range_pct,3.0,2.0,2.5
minute,2.0,3.0,2.5
rv_slope,4.0,4.0,4.0
rv_800,6.0,7.0,6.5
rv_60,11.0,5.0,8.0
volume_z,5.0,11.0,8.0
parkinson_20,9.0,8.0,8.5
rv_200,7.0,12.0,9.5
rv_5,12.0,10.0,11.0
xs_rv20,8.0,15.0,11.5
xs_park,10.0,14.0,12.0
grad_20_200,13.0,13.0,13.0
dow_sin,21.0,9.0,15.0
dow_cos,25.0,6.0,15.5
baseline_vol,18.0,16.0,17.0
rv_ratio_5_20,16.0,19.0,17.5
grad_60_800,15.0,20.0,17.5
ret_1,14.0,24.0,19.0
ret_20,17.0,23.0,20.0
rv_20,23.0,17.0,20.0
grad_5_50,19.0,21.0,20.0
xs_rank,24.0,18.0,21.0
ret_5,20.0,22.0,21.0
rv_50,22.0,25.0,23.5
